NODE_KEY,BP_ROLE,EMAIL_ADDRESS,PHONE_NUMBER,FAX_NUMBER,WEB_ADDRESS,ADDRESS_GUID.NODE_KEY,BP_ID,COMPANY_NAME,LEGAL_FORM,CREATED_BY,CREATED_AT,CHANGED_BY,CHANGED_AT,CURRENCY_CODE,DUMMY_FIELD_BPA
5EF3FD3648631ED5AFBB0614A4AED3E6,01,do.not.reply@sap.com,0622734567,0622734004,http://www.sap.com,5EF3FD3648631ED5AFBB0614A49D93E6,0100000000,SAP,SE,5EF3FD3648631ED5AFBB0614A48953E6,20160118113953.0000000,5EF3FD3648631ED5AFBB0614A48953E6,20160118113953.0000000,EUR,
5EF3FD3648631ED5AFBB0614A4AEF3E6,02,dagmar.schulze@beckerberlin.de,3088530,3088004,http://www.beckerberlin.de,5EF3FD3648631ED5AFBB0614A49DF3E6,0100000001,Becker Berlin,GmbH,5EF3FD3648631ED5AFBB0614A48953E6,20160118113953.0000000,5EF3FD3648631ED5AFBB0614A48953E6,20160118113953.0000000,EUR,
5EF3FD3648631ED5AFBB0614A4AF13E6,01,maria.brown@delbont.com,3023352668,3023352004,http://www.delbont.com,5EF3FD3648631ED5AFBB0614A49E53E6,0100000002,DelBont Industries,Ltd.,5EF3FD3648631ED5AFBB0614A48953E6,20160118113953.0000000,5EF3FD3648631ED5AFBB0614A48953E6,20160118113953.0000000,USD,
5EF3FD3648631ED5AFBB0614A4AF33E6,01,saskia.sommer@talpa-hannover.de,511403266,511403004,http://www.talpa-hannover.de,5EF3FD3648631ED5AFBB0614A49EB3E6,0100000003,Talpa,GmbH,5EF3FD3648631ED5AFBB0614A48953E6,20160118113953.0000000,5EF3FD3648631ED5AFBB0614A48953E6,20160118113953.0000000,EUR,
5EF3FD3648631ED5AFBB0614A4AF53E6,01,bob.buyer@panorama-studios.biz,2244668800,2244668004,http://www.panorama-studios.biz,5EF3FD3648631ED5AFBB0614A49F13E6,0100000004,Panorama Studios,Inc.,5EF3FD3648631ED5AFBB0614A48953E6,20160118113953.0000000,5EF3FD3648631ED5AFBB0614A48953E6,20160118113953.0000000,USD,
5EF3FD3648631ED5AFBB0614A4AF73E6,01,bart.koenig@tecum-ag.de,2511415,2511004,http://www.tecum-ag.de,5EF3FD3648631ED5AFBB0614A49F73E6,0100000005,TECUM,AG,5EF3FD3648631ED5AFBB0614A48953E6,20160118113953.0000000,5EF3FD3648631ED5AFBB0614A48953E6,20160118113953.0000000,EUR,
5EF3FD3648631ED5AFBB0614A4AF93E6,01,yoko.nakamura@asia-ht.com,9078563412,9078563004,http://www.asia-ht.com,5EF3FD3648631ED5AFBB0614A49FD3E6,0100000006,Asia High tech,Inc.,5EF3FD3648631ED5AFBB0614A48953E6,20160118113953.0000000,5EF3FD3648631ED5AFBB0614A48953E6,20160118113953.0000000,JPY,
5EF3FD3648631ED5AFBB0614A4AFB3E6,01,sophie.ribery@laurent-paris.com,149744423,149744004,http://www.laurent-paris.com,5EF3FD3648631ED5AFBB0614A4A033E6,0100000007,Laurent,S.A.,5EF3FD3648631ED5AFBB0614A48953E6,20160118113953.0000000,5EF3FD3648631ED5AFBB0614A48953E6,20160118113953.0000000,EUR,
5EF3FD3648631ED5AFBB0614A4AFD3E6,01,victor.sanchez@avantel.com,7257716,7257004,http://www.avantel.com,5EF3FD3648631ED5AFBB0614A4A093E6,0100000008,AVANTEL,S.A.,5EF3FD3648631ED5AFBB0614A48953E6,20160118113953.0000000,5EF3FD3648631ED5AFBB0614A48953E6,20160118113953.0000000,MXN,
5EF3FD3648631ED5AFBB0614A4AFF3E6,01,jorge.velez@telecomunicacionesstar.com,1133557799,1133557004,http://www.telecomunicacionesstar.com,5EF3FD3648631ED5AFBB0614A4A0F3E6,0100000009,Telecomunicaciones Star,S.A.,5EF3FD3648631ED5AFBB0614A48953E6,20160118113953.0000000,5EF3FD3648631ED5AFBB0614A48953E6,20160118113953.0000000,ARS,
5EF3FD3648631ED5AFBB0614A4B013E6,02,franklin.jones@pear-computing.com,6789012345,6789012004,http://www.pear-computing.com,5EF3FD3648631ED5AFBB0614A4A153E6,0100000010,Pear Computing Services,Inc.,5EF3FD3648631ED5AFBB0614A48953E6,20160118113953.0000000,5EF3FD3648631ED5AFBB0614A48953E6,20160118113953.0000000,USD,
5EF3FD3648631ED5AFBB0614A4B033E6,01,joseph_gschwandtner@alp-systems.at,6623612804,6623612004,http://www.alp-systems.at,5EF3FD3648631ED5AFBB0614A4A1B3E6,0100000011,Alpine Systems,AG,5EF3FD3648631ED5AFBB0614A48953E6,20160118113953.0000000,5EF3FD3648631ED5AFBB0614A48953E6,20160118113953.0000000,EUR,
5EF3FD3648631ED5AFBB0614A4B053E6,01,george_d_grant@newlinedesign.co.uk,2589436180,2589436004,http://www.newlinedesign.co.uk,5EF3FD3648631ED5AFBB0614A4A213E6,0100000012,New Line Design,Ltd.,5EF3FD3648631ED5AFBB0614A48953E6,20160118113953.0000000,5EF3FD3648631ED5AFBB0614A48953E6,20160118113953.0000000,GBP,
